IP,RTTavg,Label
y.y.y.y,108.122,phish
y.y.y.y,6.761,phish
y.y.y.y,108.087,phish
y.y.y.y,158.649,phish
y.y.y.y,140.575,phish
y.y.y.y,141.632,phish
y.y.y.y,105.844,phish
y.y.y.y,106.951,phish
y.y.y.y,137.719,phish
y.y.y.y,252.267,phish
y.y.y.y,1600.544,phish
y.y.y.y,5.954,phish
y.y.y.y,1577.388,phish
y.y.y.y,173.235,phish
y.y.y.y,171.343,phish
y.y.y.y,1641.161,phish
y.y.y.y,7.233,phish
y.y.y.y,148.583,phish
y.y.y.y,147.789,phish
y.y.y.y,239.954,phish
y.y.y.y,156.504,phish
y.y.y.y,115.07,phish
y.y.y.y,245.188,phish
y.y.y.y,159.011,phish
y.y.y.y,133.364,phish
y.y.y.y,240.729,phish
y.y.y.y,141.512,phish
y.y.y.y,7.638,phish
y.y.y.y,103.939,phish
y.y.y.y,7.005,phish
y.y.y.y,212.992,phish
y.y.y.y,7.525,phish
y.y.y.y,250.236,phish
y.y.y.y,257.323,phish
y.y.y.y,122.417,phish
y.y.y.y,282.892,phish
y.y.y.y,227.801,phish
y.y.y.y,141.534,phish
y.y.y.y,6.471,phish
y.y.y.y,135.187,phish
y.y.y.y,146.928,phish
y.y.y.y,148.074,phish
y.y.y.y,141.148,phish
y.y.y.y,138.951,phish
y.y.y.y,159.826,phish
y.y.y.y,246.368,phish
y.y.y.y,7.772,phish
y.y.y.y,234.824,phish
y.y.y.y,252.048,phish
y.y.y.y,139.819,phish
y.y.y.y,237.985,phish
y.y.y.y,163.564,phish
y.y.y.y,8.207,phish
y.y.y.y,151.549,phish
y.y.y.y,246.463,phish
y.y.y.y,175.855,phish
y.y.y.y,248.626,phish
y.y.y.y,239.825,phish
y.y.y.y,7.146,phish
y.y.y.y,227.95,phish
y.y.y.y,117.626,phish
y.y.y.y,259.858,phish
y.y.y.y,232.333,phish
y.y.y.y,105.794,phish
y.y.y.y,343.661,phish
y.y.y.y,141.988,phish
y.y.y.y,120.662,phish
y.y.y.y,244.078,phish
y.y.y.y,180.725,phish
y.y.y.y,240.724,phish
y.y.y.y,6.865,phish
y.y.y.y,122.517,phish
y.y.y.y,148.865,phish
y.y.y.y,115.093,phish
y.y.y.y,157.869,phish
y.y.y.y,114.402,phish
y.y.y.y,167.723,phish
y.y.y.y,6.731,phish
y.y.y.y,150.91,phish
y.y.y.y,243.282,phish
y.y.y.y,306.094,phish
y.y.y.y,168.164,phish
y.y.y.y,150.838,phish
y.y.y.y,280.48,phish
y.y.y.y,139.826,phish
y.y.y.y,250.646,phish
y.y.y.y,153.266,phish
y.y.y.y,141.097,phish
y.y.y.y,133.759,phish
y.y.y.y,167.013,phish
y.y.y.y,80.381,phish
y.y.y.y,73.942,phish
y.y.y.y,149.726,phish
y.y.y.y,6.457,phish
y.y.y.y,56.588,phish
y.y.y.y,241.084,phish
y.y.y.y,6.069,phish
y.y.y.y,230.266,phish
y.y.y.y,268.727,phish
y.y.y.y,252.491,phish
y.y.y.y,164.585,phish
y.y.y.y,105.405,phish
y.y.y.y,343.963,phish
y.y.y.y,148.36,phish
y.y.y.y,160.491,phish
y.y.y.y,159.438,phish
y.y.y.y,24.826,phish
y.y.y.y,6.681,phish
y.y.y.y,1843.122,phish
y.y.y.y,152.016,phish
y.y.y.y,146.873,phish
